1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,88252JL3GS115SI,110055500006.0,JAL 3 GAS PLANT,115 SID RICHARDSON RD,JAL,LEA,NM,88252,,,32.1742,-103.1741,NAD83,ENERGY TRANSFER PARTNERS LP,610792264,ENERGY TRANSFER LP,,,,NO,211,Natural Gas Processing,,,,,,,211130,,,,,,1323222349060,Cyclohexane,NO,0000110827,110-82-7,27003.0,NO,TRI,NO,Non_Metal,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2023,88008SCSTM15NEW,110020516253.0,US CBP SANTA TERESA BORDER PATROL STATION #NM0023,1005 NEW MEXICO HWY 9,SANTA TERESA,DONA ANA,NM,88008,,,31.82274,-106.69211,NAD83,US DEPARTMENT OF HOMELAND SECURITY,,US DEPARTMENT OF HOMELAND SECURITY,,,,YES,999,Other,,,,,,,922120,,,,,,1323222099525,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3103.0,3103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3103.0,3.13,0.0,0.0,3.13,0.0,0.0,0.0,0.0,0.0,3103.0,0.0,0.0,3106.13,,ACTIVITY,1.3
2023,8821WCSTLC6465S,110071712067.0,COASTAL CHEMICAL CO. LLC,6465 SEVEN RIVERS HWY,ARTESIA,EDDY,NM,88210,,,32.78011,-104.39619,NAD83,BRENNTAG N.A. INC,041167107,BRENNTAG NORTH AMERICA INC,,,BRENNTAG AG,NO,4246,Chemical Wholesalers,,,,,,,424690,,,,,,1323221838509,Xylene (mixed isomers),NO,0001330207,1330-20-7,84970.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,PRODUCTION,1.0
2023,87416FRCRNCOUNT,110042068473.0,FOUR CORNERS STEAM ELECTRIC STATION,COUNTY RD 6675,FRUITLAND,SAN JUAN,NM,87416,780.0,"Navajo Nation, Arizona, New Mexico, & Utah",36.68881,-108.48036,NAD83,PINNACLE WEST CAPITAL CORP,131155400,PINNACLE WEST CAPITAL CORP,,,,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1323221589334,Beryllium  And Beryllium Compounds,YES,N050,N050,649947.0,YES,TRI,YES,Metal complound categories,YES,NO,NO,R,Pounds,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10108.0,0.0,0.0,0.0,32.0,0.0,10145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10145.0,0.0,10108.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10145.0,,PRODUCTION,0.88
2023,8804WSCBPL26PIP,110060260658.0,US CBP LORDSBURG BORDER PATROL STATION #NM0153,26 PIPELINE ROAD,LORDSBURG,HIDALGO,NM,88045,,,32.348075,-108.746111,NAD83,US DEPARTMENT OF HOMELAND SECURITY,,US DEPARTMENT OF HOMELAND SECURITY,,,,YES,999,Other,,,,,,,922120,,,,,,1323222099121,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,0.0,0.0,456.0,,ACTIVITY,1.7
2023,87413BLMFLNO50C,110000600840.0,WESTERN REFINING TERMINALS LLC - BLOOMFIELD,50 COUNTY RD 4990,BLOOMFIELD,SAN JUAN,NM,87413,,,36.698761,-107.975395,NAD83,MARATHON PETROLEUM CORP,968393996,MARATHON PETROLEUM CORP,,,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323221846811,Cyclohexane,NO,0000110827,110-82-7,27003.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,750.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650.0,0.0,0.0,2650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650.0,,PRODUCTION,0.95
2023,88260LRFNNSOUTH,110000600886.0,HOLLYFRONTIER NAVAJO REFINING LLC - LEA REFINERY,7406 S MAIN 5 MI S OF LOVINGTON ON HW 18,LOVINGTON,LEA,NM,88260,,,32.880278,-103.302778,NAD83,HOLLYFRONTIER CORP,118606788,HF SINCLAIR CORP,,,,NO,324,Petroleum,,,,,,,324110,,,,,,1323222250680,Mercury compounds,NO,N458,N458,650028.0,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,,PRODUCTION,1.02
2023,88210NVJRF501EA,110000472630.0,HOLLYFRONTIER NAVAJO REFINING LLC - ARTESIA REFINERY,501 E MAIN ST,ARTESIA,EDDY,NM,88210,,,32.848593,-104.394383,NAD83,HF SINCLAIR CORP,118606788,HF SINCLAIR CORP,,,,NO,324,Petroleum,,,,,,,324110,,,,,,1323222250868,Naphthalene,NO,0000091203,91-20-3,13326.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,1100.0,43.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,110.0,0.0,124.0,1158.0,0.0,1.0,1100.0,14.0,0.0,0.0,0.0,0.0,0.0,100.0,110.0,1325.0,,PRODUCTION,0.94
2023,8825WRDHLL24MIW,110043218853.0,RED HILLS GAS PLANT,24 MI WNW FROM JAL,JAL,LEA,NM,88252,,,32.210556,-103.523889,NAD83,TARGA RESOURCES CORP,827389847,TARGA RESOURCES CORP,,,,NO,211,Natural Gas Processing,,,,,,,211130,,,,,,1323222246276,Benzene,NO,0000071432,71-43-2,4754.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,34000.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16012.6,0.0,0.0,0.0,0.0,0.0,0.0,16012.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16012.6,170012.6,0.0,0.0,118153.4,16012.6,0.0,0.0,0.0,0.0,0.0,5900000.0,0.0,6034166.0,35846.6,PRODUCTION,2.34
2023,88043CHNMN210CO,110028023467.0,CHINO MINES CO MINE CONCENTRATOR-SXEW PLANTS,99 SANTA RITA MINE RD,VANADIUM,GRANT,NM,88023,,,32.791667,-108.067222,NAD83,FREEPORT-MCMORAN INC,187122973,FREEPORT-MCMORAN INC,,,,NO,2122,Metal Mining,,,,,,,212230,,,,,,1323221817315,Cobalt  And Cobalt Compounds,YES,N096,N096,649970.0,YES,TRI,YES,Metal complound categories,YES,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61000.0,0.0,61000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61000.0,0.0,0.0,61000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61000.0,,PRODUCTION,1.1
2023,87416FRCRNCOUNT,110042068473.0,FOUR CORNERS STEAM ELECTRIC STATION,COUNTY RD 6675,FRUITLAND,SAN JUAN,NM,87416,780.0,"Navajo Nation, Arizona, New Mexico, & Utah",36.68881,-108.48036,NAD83,PINNACLE WEST CAPITAL CORP,131155400,PINNACLE WEST CAPITAL CORP,,,,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1323221589359,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,0007664939,7664-93-9,152405.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,5363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5363.0,0.0,0.0,5363.0,0.0,0.0,0.0,0.0,0.0,0.0,2178740.0,0.0,2184103.0,,PRODUCTION,0.88
2023,8821WRTSGS32756,110043804096.0,ARTESIA GAS PLANT,1925 ILLINOIS CAMP ROAD,ARTESIA,EDDY,NM,88210,,,32.75676,-104.21012,NAD83,PHILLIPS 66,078423447,PHILLIPS 66 CO,,,,NO,211,Natural Gas Processing,,,,,,,211130,,,,,,1323221949175,Xylene (mixed isomers),NO,0001330207,1330-20-7,84970.0,YES,TRI,NO,Non_Metal,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2023,8826WMLJMR11CNC,110000534020.0,MALJAMAR GAS PROCESSING PLANT,1001 CONOCO ROAD,MALJAMAR,LEA,NM,88264,,,32.813889,-103.771944,NAD83,DURANGO MIDSTREAM LLC,081043520,DURANGO MIDSTREAM LLC,,,,NO,211,Natural Gas Processing,,,,,,,211130,,,,,,1323221902556,n-Hexane,NO,0000110543,110-54-3,26740.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,1412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1412.0,0.0,0.0,1412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1412.0,,PRODUCTION,0.86
2023,8821WRTSGS32756,110043804096.0,ARTESIA GAS PLANT,1925 ILLINOIS CAMP ROAD,ARTESIA,EDDY,NM,88210,,,32.75676,-104.21012,NAD83,PHILLIPS 66,078423447,PHILLIPS 66 CO,,,,NO,211,Natural Gas Processing,,,,,,,211130,,,,,,1323221949151,n-Hexane,NO,0000110543,110-54-3,26740.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,900.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,0.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,,PRODUCTION,0.95
2023,8741WCHCGSSE4S1,110043802490.0,CHACO GAS PLANT,895 C.R. 7100,BLOOMFIELD,SAN JUAN,NM,87413,,,36.4838,-108.1199,NAD83,ENTERPRISE PRODUCTS OPERATING LLC,841528859,ENTERPRISE PRODUCTS OPERATING LLC,,,,NO,211,Natural Gas Processing,,,,,,,211130,,,,,,1323222123198,Toluene,NO,0000108883,108-88-3,25452.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,370.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3470.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,5900.0,,PRODUCTION,0.89
2023,87113MTRLN4800A,110000472426.0,CTS ELECTRONIC COMPONENTS INC,4800 ALAMEDA BLVD NE,ALBUQUERQUE,BERNALILLO,NM,87113,,,35.18446,-106.593136,NAD83,CTS CORP,005068515,CTS CORP,,,,NO,334,Computers and Electronic Products,,,,,,,334419,,,,,,1323221597875,Lead  And Lead Compounds,YES,N420,N420,650002.0,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238539.46,0.0,0.0,0.0,0.0,0.0,0.0,238565.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238565.46,238585.46,0.0,0.0,20.0,238539.46,26.0,0.0,0.0,0.0,0.0,0.0,0.0,238585.46,,PRODUCTION,1.1
2023,88210NVJRF501EA,110000472630.0,HOLLYFRONTIER NAVAJO REFINING LLC - ARTESIA REFINERY,501 E MAIN ST,ARTESIA,EDDY,NM,88210,,,32.848593,-104.394383,NAD83,HF SINCLAIR CORP,118606788,HF SINCLAIR CORP,,,,NO,324,Petroleum,,,,,,,324110,,,,,,1323222250490,Ammonia,NO,0007664417,7664-41-7,152389.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,45.0,44000.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47245.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,47245.0,0.0,3200.0,44000.0,0.0,0.0,0.0,0.0,0.0,0.0,61000.0,25.0,108225.0,,PRODUCTION,0.94
2023,8822WSNRGY497GR,110071434237.0,SENERGY PETROLEUM - CARLSBAD BULK PLANT,4907 GRANDI RURAL ROAD,CARLSBAD,EDDY,NM,88220,,,32.357037,-104.169663,NAD83,BRAD HALL ENERGY HOLDINGS LLC,,BRAD HALL ENERGY HOLDINGS LLC,,,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323222003699,Cyclohexane,NO,0000110827,110-82-7,27003.0,NO,TRI,NO,Non_Metal,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2023,8826WSTHDD81BUC,110067554033.0,SOUTH EDDY GAS PLANT,810 BUCK JACKSON RD.,MALAGA,EDDY,NM,88263,,,32.162685,-103.82968,NAD83,ENTERPRISE PRODUCTS OPERATING LLC,841528859,ENTERPRISE PRODUCTS OPERATING LLC,,,,NO,211,Natural Gas Processing,,,,,,,211130,,,,,,1323222123337,Toluene,NO,0000108883,108-88-3,25452.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.61,204.61,0.0,0.0,51.0,0.0,153.61,0.0,0.0,0.0,0.0,2000.0,0.0,2204.61,,PRODUCTION,0.96
2023,8741WCHCGSSE4S1,110043802490.0,CHACO GAS PLANT,895 C.R. 7100,BLOOMFIELD,SAN JUAN,NM,87413,,,36.4838,-108.1199,NAD83,ENTERPRISE PRODUCTS OPERATING LLC,841528859,ENTERPRISE PRODUCTS OPERATING LLC,,,,NO,211,Natural Gas Processing,,,,,,,211130,,,,,,1323222123135,Benzene,NO,0000071432,71-43-2,4754.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,270.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3870.0,0.0,0.0,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,6400.0,,PRODUCTION,0.89
2023,87124NTLCR4100S,110000472471.0,INTEL CORP - RIO RANCHO,4100 SARA RD M S RR5-491,RIO RANCHO,SANDOVAL,NM,87124,,,35.23133,-106.65608,NAD83,INTEL CORP,047897855,INTEL CORP,,,,NO,334,Computers and Electronic Products,,,,,,,334413,,,,,,1323222224026,Copper compounds,NO,N100,N100,649491.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,0.0,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,0.0,28000.0,0.0,0.0,0.0,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28830.0,830.0,0.0,0.0,0.0,600.0,230.0,0.0,0.0,0.0,28000.0,0.0,0.0,28830.0,,PRODUCTION,1.8
2023,87416FRCRNCOUNT,110042068473.0,FOUR CORNERS STEAM ELECTRIC STATION,COUNTY RD 6675,FRUITLAND,SAN JUAN,NM,87416,780.0,"Navajo Nation, Arizona, New Mexico, & Utah",36.68881,-108.48036,NAD83,PINNACLE WEST CAPITAL CORP,131155400,PINNACLE WEST CAPITAL CORP,,,,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1323221589599,Vanadium compounds,NO,N770,N770,755389.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,3.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,124832.0,0.0,0.0,0.0,1019.0,0.0,125941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125941.0,0.0,124832.0,1109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125941.0,,PRODUCTION,0.88
2023,87416FRCRNCOUNT,110042068473.0,FOUR CORNERS STEAM ELECTRIC STATION,COUNTY RD 6675,FRUITLAND,SAN JUAN,NM,87416,780.0,"Navajo Nation, Arizona, New Mexico, & Utah",36.68881,-108.48036,NAD83,PINNACLE WEST CAPITAL CORP,131155400,PINNACLE WEST CAPITAL CORP,,,,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1323221589664,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,0007647010,7647-01-0,152231.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,9372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9372.0,0.0,0.0,9372.0,0.0,0.0,0.0,0.0,0.0,0.0,347467.0,0.0,356839.0,,PRODUCTION,0.88
